Category,Calories_per_100g,Price,Product,Calories_kcal
baked_products,378,31.27,CAKE,1890.0
baked_products,416,15.72,BISCUITS,2080.0
condiments,0,18.44,MSG,0.0
condiments,134,14.67,CREAMER,670.0
condiments,449,16.29,SALAD DRESSING,2245.0
condiments,563,43.11,BELACAN,5630.0
confectionary,420,32.98,CONFECTIONERY,4200.0
cooking_ingr,16,28.93,BOUILON,80.0
cooking_ingr,145,17.6,INSTANT SOUP,1450.0
cooking_ingr,233,11.02,COCONUT MILK,2330.0
cooking_ingr,321,4.89,CONDENSED/EVAP MILK,3210.0
dairy_products,61,14.03,YOGHURTS,305.0
dairy_products,90,6.45,YOGHURT DRINK,900.0
dairy_products,120,41.49,GHEE,1200.0
dairy_products,280,37.91,CHEESE,2800.0
dairy_products,720,24.65,BUTTER,3600.0
drinks,1,26.44,COFFEE,10.0
drinks,1,38.9,TEA,1.0
drinks,27,2.46,ISOTONIC DRINKS,270.0
drinks,30,13.58,PLANT BASED MILK,300.0
drinks,43,14.16,BEER,430.0
drinks,44,2.15,CSD,440.0
drinks,45,11.25,ENERGY DRINKS,450.0
drinks,45,2.98,SOY MILK,450.0
drinks,50,3.82,FRUIT/VEG JUICES,500.0
drinks,50,8.28,RTD COFFEE,500.0
drinks,51,2.61,RTD TEA,510.0
drinks,58,32.53,MILK POWDER-ADULT,580.0
drinks,61,6.17,LIQUID MILK,610.0
drinks,62,34.17,MILK POWDER-KIDS,620.0
drinks,72,7.35,CULTURED MILK,720.0
drinks,83,67.97,WINE,830.0
drinks,164,8.73,CORDIALS,1640.0
drinks,250,200.19,SPIRITS,2500.0
drinks,400,16.49,CEREAL BEVERAGE,4000.0
drinks,450,49.54,MILK POWDER-INFANT,4500.0
drinks,548,15.11,TONIC FOOD DRINK,5480.0
frozen_canned_food,150,14.58,CANNED PRODUCT,750.0
frozen_canned_food,233,12.26,FROZEN FOOD,1165.0
non_substitutable,0,0.79,DRINKING WATER,0.0
non_substitutable,97,0.37,EGGS,4.8500000000000005
non_substitutable,156,21.01,SEASONING POWDER,780.0
non_substitutable,175,8.47,COOKING SAUCES,875.0
non_substitutable,405,2.99,SUGAR,4050.0
non_substitutable,800,4.04,COOKING OILS,8000.0
snacks,240,11.79,ICE CREAM,2400.0
snacks,300,23.85,SNACK,1500.0
snacks,529,47.27,CHOCOLATE,5290.0
spreads,240,20.8,JAM,1200.0
spreads,280,34.86,SAVOURY SPREAD,1400.0
spreads,304,39.38,HONEY,3040.0
spreads,310,14.02,KAYA,1550.0
spreads,527,37.39,CHOC/NUT SPREAD,2635.0
spreads,589,25.37,PEANUT BUTTER,2945.0
spreads,717,10.1,MARGARINE,3585.0
staple_food,171,3.05,RICE,1710.0
staple_food,220,7.77,SPAGETTI,1100.0
staple_food,364,2.79,FLOUR,3640.0
staple_food,375,26.75,CEREALS,3750.0
staple_food,431,1.08,INSTANT NOODLES,431.0
supplements,46,90.33,BIRD NEST,230.0
supplements,267,76.52,CHICKEN ESSENCE,2670.0
